0.9983,    0.0000
0.9994,    0.1877
1.0004,    0.3755
1.0015,    0.5632
1.0025,    0.7509
1.0036,    0.9386
1.0047,    1.1264
1.0057,    1.3141
1.0068,    1.5018
1.0079,    1.6896
1.0089,    1.8773
1.0100,    2.0650
1.0111,    2.2527
1.0121,    2.4405
1.0132,    2.6282
1.0143,    2.8159
1.0154,    3.0037
1.0164,    3.1914
1.0175,    3.3791
1.0186,    3.5668
1.0197,    3.7546
1.0208,    3.9423
1.0218,    4.1300
1.0229,    4.3177
1.0240,    4.5055
1.0251,    4.6932
1.0262,    4.8809
1.0273,    5.0687
1.0284,    5.2564
1.0295,    5.4441
1.0305,    5.6318
1.0316,    5.8196
1.0327,    6.0073
1.0338,    6.1950
1.0349,    6.3828
1.0360,    6.5705
1.0371,    6.7582
1.0382,    6.9459
1.0393,    7.1337
1.0404,    7.3214
1.0415,    7.5091
1.0426,    7.6968
1.0437,    7.8846
1.0448,    8.0723
1.0460,    8.2600
1.0471,    8.4478
1.0482,    8.6355
1.0493,    8.8232
1.0504,    9.0109
1.0515,    9.1987
1.0526,    9.3864
1.0537,    9.5741
1.0549,    9.7618
1.0560,    9.9496
1.0571,   10.1373
1.0582,   10.3250
1.0593,   10.5128
1.0605,   10.7005
1.0616,   10.8882
1.0627,   11.0759
1.0638,   11.2637
1.0650,   11.4514
1.0661,   11.6391
1.0672,   11.8268
1.0684,   12.0146
1.0695,   12.2023
1.0706,   12.3900
1.0718,   12.5778
1.0729,   12.7655
1.0740,   12.9532
1.0752,   13.1409
1.0763,   13.3287
1.0775,   13.5164
1.0786,   13.7041
1.0797,   13.8918
1.0809,   14.0796
1.0820,   14.2673
1.0832,   14.4550
1.0843,   14.6428
1.0855,   14.8305
1.0866,   15.0182
1.0878,   15.2059
1.0889,   15.3937
1.0901,   15.5814
1.0913,   15.7691
1.0924,   15.9568
1.0936,   16.1446
1.0947,   16.3323
1.0959,   16.5200
1.0971,   16.7077
1.0982,   16.8955
1.0994,   17.0832
1.1005,   17.2709
1.1017,   17.4586
1.1029,   17.6464
1.1041,   17.8341
1.1052,   18.0218
1.1064,   18.2096
1.1076,   18.3973
1.1087,   18.5850
1.1099,   18.7727
1.1111,   18.9605
1.1123,   19.1482
1.1135,   19.3359
1.1146,   19.5236
1.1158,   19.7114
1.1170,   19.8991
1.1182,   20.0868
1.1194,   20.2745
1.1206,   20.4623
1.1217,   20.6500
1.1229,   20.8377
1.1241,   21.0254
1.1253,   21.2132
1.1265,   21.4009
1.1277,   21.5886
1.1289,   21.7763
1.1301,   21.9641
1.1313,   22.1518
1.1325,   22.3395
1.1337,   22.5273
1.1349,   22.7150
1.1361,   22.9027
1.1373,   23.0904
1.1385,   23.2782
1.1397,   23.4659
1.1409,   23.6536
1.1421,   23.8413
1.1434,   24.0291
1.1446,   24.2168
1.1458,   24.4045
1.1470,   24.5922
1.1482,   24.7800
1.1494,   24.9677
1.1506,   25.1554
1.1519,   25.3431
1.1531,   25.5309
1.1543,   25.7186
1.1555,   25.9063
1.1568,   26.0940
1.1580,   26.2818
1.1592,   26.4695
1.1604,   26.6572
1.1617,   26.8449
1.1629,   27.0327
1.1641,   27.2204
1.1654,   27.4081
1.1666,   27.5958
1.1678,   27.7836
1.1691,   27.9713
1.1703,   28.1590
1.1716,   28.3467
1.1728,   28.5345
1.1741,   28.7222
1.1753,   28.9099
1.1765,   29.0976
1.1778,   29.2854
1.1790,   29.4731
1.1803,   29.6608
1.1815,   29.8485
1.1828,   30.0363
1.1841,   30.2240
1.1853,   30.4117
1.1866,   30.5994
1.1878,   30.7872
1.1891,   30.9749
1.1903,   31.1626
1.1916,   31.3503
1.1929,   31.5381
1.1941,   31.7258
1.1954,   31.9135
1.1967,   32.1012
1.1979,   32.2890
1.1992,   32.4767
1.2005,   32.6644
1.2018,   32.8521
1.2030,   33.0398
1.2043,   33.2276
1.2056,   33.4153
1.2069,   33.6030
1.2081,   33.7907
1.2094,   33.9785
1.2107,   34.1662
1.2120,   34.3539
1.2133,   34.5416
1.2146,   34.7294
1.2158,   34.9171
1.2171,   35.1048
1.2184,   35.2925
1.2197,   35.4803
1.2210,   35.6680
1.2223,   35.8557
1.2236,   36.0434
1.2249,   36.2312
1.2262,   36.4189
1.2275,   36.6066
1.2288,   36.7943
1.2301,   36.9820
1.2314,   37.1698
1.2327,   37.3575
1.2340,   37.5452
1.2353,   37.7329
1.2366,   37.9207
1.2380,   38.1084
1.2393,   38.2961
1.2406,   38.4838
1.2419,   38.6716
1.2432,   38.8593
1.2445,   39.0470
1.2459,   39.2347
1.2472,   39.4225
1.2485,   39.6102
1.2498,   39.7979
1.2511,   39.9856
1.2525,   40.1733
1.2538,   40.3611
1.2551,   40.5488
1.2565,   40.7365
1.2578,   40.9242
1.2591,   41.1120
1.2605,   41.2997
1.2618,   41.4874
1.2631,   41.6751
1.2645,   41.8629
1.2658,   42.0506
1.2672,   42.2383
1.2685,   42.4260
1.2698,   42.6137
1.2712,   42.8015
1.2725,   42.9892
1.2739,   43.1769
1.2752,   43.3646
1.2766,   43.5524
1.2779,   43.7401
1.2793,   43.9278
1.2807,   44.1155
1.2820,   44.3032
1.2834,   44.4910
1.2847,   44.6787
1.2861,   44.8664
1.2875,   45.0541
1.2888,   45.2419
1.2902,   45.4296
1.2916,   45.6173
1.2929,   45.8050
1.2943,   45.9927
1.2957,   46.1805
1.2971,   46.3682
1.2984,   46.5559
1.2998,   46.7436
1.3012,   46.9314
1.3026,   47.1191
1.3039,   47.3068
1.3053,   47.4945
